Coating_Number_['No coating' 'Monolayer' 'Multilayer'],Combined_Therapy_Grouped_['Monotherapy' 'Combination therapy'],Delivery_Efficiency_['No' 'Yes'],IC50_['No' 'Yes'],PEG_Coat_['Non PEGylated' 'PEGylated'],Study strategy_['Therapy' 'Theragnosis'],Targeting_Type_['Passive' 'Active'],Total_Coating_Steps_Group_['None' 'Low' 'Medium' 'High' 'Very High'],Route_['Local' 'Systemic'],Immune status_['Immunocompromised' 'Immunocompetent'],No._Days_dosing_grouped_['Single-dose' 'Multiple-dose'],Size_Group_['0~10 nm' '10~100 nm' '100~200 nm' '>200 nm'],Bioconjugation_nature_Covalent,Bioconjugation_nature_Electrostatic,Bioconjugation_nature_None,Shape_Other,Shape_Rod,Shape_Sphere,Subtype_Aluminum,Subtype_Copper,Subtype_Gadolinium oxide,Subtype_Gold,Subtype_Hybrid,Subtype_Iridium,Subtype_Iron oxide,Subtype_Silica,Subtype_Silver,Therapeutic_Molecule_Type_Alcohol antagonist,Therapeutic_Molecule_Type_Alkylating agent,Therapeutic_Molecule_Type_Alkylating agent-Nucleic acid,Therapeutic_Molecule_Type_Anthracycline,Therapeutic_Molecule_Type_Anthracycline-Biologic,Therapeutic_Molecule_Type_Anthracycline-Kinase inhibitor,Therapeutic_Molecule_Type_Anthracycline-Nucleic acid,Therapeutic_Molecule_Type_Anthracycline-Taxane,Therapeutic_Molecule_Type_Anthracycline-Taxane-Antibody,Therapeutic_Molecule_Type_Anti-malarial,Therapeutic_Molecule_Type_Anti-tumorigenic cytokine,Therapeutic_Molecule_Type_Antibody,Therapeutic_Molecule_Type_Antibody-Anthracycline,Therapeutic_Molecule_Type_Antigen,Therapeutic_Molecule_Type_Antihelmintic-Ribosome-inactivating,Therapeutic_Molecule_Type_Antimetabolite,Therapeutic_Molecule_Type_Antimetabolite-Taxane,Therapeutic_Molecule_Type_Antiviral-Nucleic Acid,Therapeutic_Molecule_Type_Autophagy inhibitor,Therapeutic_Molecule_Type_Biologic,Therapeutic_Molecule_Type_Bisphosphonates,Therapeutic_Molecule_Type_CDK4/6 inhibitor-Autophagy inhibitor,Therapeutic_Molecule_Type_Enzyme,Therapeutic_Molecule_Type_Enzyme inhibitor,Therapeutic_Molecule_Type_Estrogen receptor modulator,Therapeutic_Molecule_Type_Hypoxic cytotoxin,Therapeutic_Molecule_Type_Kinase inhibitor,Therapeutic_Molecule_Type_Kinase inhibitor-Nucleic acid,Therapeutic_Molecule_Type_Ligand,Therapeutic_Molecule_Type_Metal compound,Therapeutic_Molecule_Type_Natural product,Therapeutic_Molecule_Type_Nitroxide radical,Therapeutic_Molecule_Type_Non-steroidal anti-inflammatory,Therapeutic_Molecule_Type_None,Therapeutic_Molecule_Type_Nucleic acid,Therapeutic_Molecule_Type_Photosensitizer,Therapeutic_Molecule_Type_Photosensitizer-Antioxidant,Therapeutic_Molecule_Type_Photosensitizer-Enzyme,Therapeutic_Molecule_Type_Photosensitizer-Matrix metalloproteinases,Therapeutic_Molecule_Type_Photosensitizer-Natural product,Therapeutic_Molecule_Type_Photosensitizer-Nucleic Acid,Therapeutic_Molecule_Type_Photosensitizer-Radioactive element,Therapeutic_Molecule_Type_Prodrug,Therapeutic_Molecule_Type_Proteasome inhibitor,Therapeutic_Molecule_Type_Proteinogenic amino acid,Therapeutic_Molecule_Type_Purine analog,Therapeutic_Molecule_Type_RNA synthesis inhibitor,Therapeutic_Molecule_Type_Taxane,Therapeutic_Molecule_Type_Taxane-Anthracycline,Therapeutic_Molecule_Type_Taxane-Natural product,Therapeutic_Molecule_Type_Taxane-Nucleic acid,Therapeutic_Molecule_Type_Thermal initiator,Therapeutic_Molecule_Type_Topoisomerase inhibitor,Therapeutic_Molecule_Type_Topoisomerase inhibitor-Nucleic acid,Therapeutic_Molecule_Type_Tumor necrosis factor,Cancer_type_Brain,Cancer_type_Breast,Cancer_type_Cervix,Cancer_type_Colon,Cancer_type_Liver,Cancer_type_Lung,Cancer_type_Other,Cancer_type_Ovary,Cancer_type_Pancreas,Cancer_type_Prostate,Cancer_type_Skin,Tumor_model_Allograft heterotopic,Tumor_model_Allograft orthotopic,Tumor_model_Other,Tumor_model_Xenograft heterotopic,Tumor_model_Xenograft orthotopic,Breast cancer subtype_HER2-enriched,Breast cancer subtype_Luminal A,Breast cancer subtype_Luminal A and Metastatic,Breast cancer subtype_Luminal B,Breast cancer subtype_Metastatic,Breast cancer subtype_Not Applicable,Breast cancer subtype_Triple-negative,Sub-route_IV,Sub-route_Intratumoral,Sub-route_Other,Therapy_type_Chemotherapy,Therapy_type_Gene therapy,Therapy_type_Immunotherapy,Therapy_type_Magnetic hyperthermia,Therapy_type_None,Therapy_type_Other,Therapy_type_Photoacoustic therapy,Therapy_type_Photodynamic therapy,Therapy_type_Photothermal therapy,Therapy_type_Radiofrequency,Therapy_type_Radiotherapy,Therapy_type_Ultrasound,Imaging_type_CT,Imaging_type_Fluorescence,Imaging_type_Luminescence,Imaging_type_MRI,Imaging_type_None,Imaging_type_Other,Imaging_type_PET,Imaging_type_Photoacoustic,Imaging_type_Thermal,Imaging_type_Ultrasound,Tumor_Vol_Reduction_(%),binary_labels,multiclass_labels
1,0,0,0,0,0,1,1,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.20207254,1,1
1,0,1,0,0,0,0,1,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33.18681319,0,0
2,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82.82220513,0,1
2,1,0,0,1,1,0,3,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,85.45454545,0,1
1,1,1,1,1,1,0,2,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,91.04523,1,2
2,0,0,1,0,0,0,2,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,1,3
2,0,0,0,1,1,0,3,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70.67137809,0,0
2,0,1,0,1,1,0,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,100,1,3
1,0,0,0,0,0,1,1,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,96.83286297,1,2
2,0,0,0,0,0,1,2,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44.80004204,0,0
1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,94.9906,1,2
1,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,1,3
2,1,0,0,1,1,0,2,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13.42977,0,0
2,0,0,0,0,1,1,2,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,57.59,0,0
2,0,0,0,0,1,0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64.09,0,0
2,1,0,0,1,0,1,4,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80.26717003,0,1
1,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73.28519856,0,0
2,0,0,0,0,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,62.69430052,0,0
1,1,0,0,1,0,0,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84.44444444,0,1
2,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,92.98246,1,2
0,1,0,0,0,1,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,1,3
1,1,1,0,0,0,0,2,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,95.5582,1,2
